#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
  Sweet Red Peppers,58,0.67,0.131,13.39,4.4,9.32,2.2,4,0,468
   3 small
"  Jalapeno Peppers (Solids and Liquids, Canned)",6,0.21,0.021,1.04,0.6,0.47,0.2,368,0,42
   1 pepper
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
  Balsamic Vinegar,13,0,0,2.55,0,2.33,0,1,0,8
   1 tbsp
  Capers,2,0.07,0.02,0.42,0.3,0.04,0.2,255,0,3
   1 tbsp drained
 Dinner,866,31.93,3.947,123.95,14.2,41.72,25.07,1657,70,972
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Bertolli Marinara Sauce,240,6,0,39,3,36,6,1590,0,
"   3  x 1/2 cup, 378 g"
"  Egg Noodles (Enriched, Cooked)",331,4.97,1.006,60.38,2.9,0.96,10.9,12,70,91
   1 1/2 cups
  Garlic,27,0.09,0.016,5.95,0.4,0.18,1.14,3,0,72
   6 cloves
  Brussels Sprouts,89,0.62,0.129,18.62,7.9,4.58,7.03,52,0,809
"   8 oz, raw, yields"
 Snacks/Other,171,14.99,2.14,5.36,2.14,2.14,7.5,160.65,0,214.2
  Planters Dry Roasted Peanuts,171,14.99,2.14,5.36,2.14,2.14,7.5,160.65,0,214.2
   30 g

Total,27299,805.86,247.755,3505.08,392.37,1144.22,1201,38000.33,3190,34551.3
