date,weight,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"2021-03-07",,1662.0,27.61,12.348,120.26,3.0,12.49,65.12,1594.82,73.42,1534.0
"2021-03-08",200.8,,,,,,,,,,
"2021-03-09",203.7,,,,,,,,,,
"2021-03-10",201.9,,,,,,,,,,
"2021-03-11",205.3,2652.0,89.91,31.648,137.35,2.0,5.16,92.0,1428.0,634.0,730.0
"2021-03-12",203.7,1505.0,34.0,11.0,74.74,1.8,7.56,35.32,550.0,21.0,1127.0
"2021-03-13",202.4,771.0,48.01,16.532,44.75,4.0,9.81,37.31,815.0,433.0,417.0
"2021-03-14",203.0,,,,,,,,,,
"2021-03-15",,,,,,,,,,,
"2021-03-16",,1290.0,16.34,9.108,80.61,3.3,8.89,20.63,704.0,42.0,1319.0
"2021-03-17",201.1,206.0,7.16,4.141,27.01,2.5,3.07,8.75,527.66,15.18,114.0
"2021-03-18",201.9,,,,,,,,,,
"2021-03-19",,,,,,,,,,,
"2021-03-20",,,,,,,,,,,
"2021-03-21",199.5,,,,,,,,,,
"2021-03-22",200.4,,,,,,,,,,
"2021-03-23",203.0,,,,,,,,,,
"2021-03-24",,,,,,,,,,,
"2021-03-25",204.4,2744.0,39.31,10.24,167.23,6.0,15.56,66.16,2441.0,70.0,1296.0
"2021-03-26",,,,,,,,,,,
"2021-03-27",,,,,,,,,,,
"2021-03-28",203.7,,,,,,,,,,
"2021-03-29",203.0,,,,,,,,,,
"2021-03-30",201.7,,,,,,,,,,
"2021-03-31",202.6,,,,,,,,,,
"2021-04-01",202.8,,,,,,,,,,
"2021-04-02",204.4,1784.0,76.62,25.447,82.23,8.8,9.11,59.64,564.0,0.0,1708.0
"2021-04-03",201.5,,,,,,,,,,
"2021-04-04",,,,,,,,,,,
"2021-04-05",202.2,,,,,,,,,,
"2021-04-06",,,,,,,,,,,
"2021-04-07",204.8,,,,,,,,,,
"2021-04-08",206.1,,,,,,,,,,
"2021-04-09",205.0,,,,,,,,,,
"2021-04-10",205.0,,,,,,,,,,
"2021-04-11",202.8,,,,,,,,,,
