#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Peanuts,42,3.68,0.607,1.07,0.7,0.29,1.96,22,0,51
   7 g
 Dinner,892,8.77,2.932,160.83,11.2,10.09,36.53,2088.5,15.95,792
  Spaghetti,754,4.42,0.84,147.26,8.6,2.69,27.65,1114,0,216
"   6 oz, dry, yields"
  Parmesan Cheese (Grated),52,3.43,2.076,0.49,0,0.11,4.62,183,11,15
   12 g
  Tomato Sauce,10,0.06,0.008,2.1,0.4,1.2,0.37,3,0,105
   1 oz
  Great Value Diced Canned Tomatoes,50,0,0,8,2,6,2,440,0,420
"   2  x 1/2 cup, 242 g"
  Garlic,13,0.04,0.008,2.98,0.2,0.09,0.57,2,0,36
   3 cloves
  Crown Prince Flat Anchovies in Olive Oil,13,0.82,0,0,0,0,1.32,346.5,4.95,0
"   1/3  x 6 pieces , 5 g"
 Snacks/Other,,,,,,,,,,

"Monday, April 20, 2020",1663,41.72,17.499,234.08,18.11,16.56,84.38,2875.37,131.65,527
 Breakfast,,,,,,,,,,
 Lunch,282,8.73,0.502,43.47,4.91,4.63,8.56,677.88,0,70
  Bread,186,2.3,0.502,35.43,1.7,3.02,5.35,477,0,70
   70 g
