date,start,finish,state
"2020-08-27",86070,86400,"wake"
"2020-08-28",0,30,"wake"
"2020-08-28",0,30,"wake"
"2020-08-28",30,780,"light"
"2020-08-28",30,780,"light"
"2020-08-28",780,1110,"wake"
"2020-08-28",780,1110,"wake"
"2020-08-28",1110,4800,"light"
"2020-08-28",1110,4800,"light"
"2020-08-28",4800,5190,"rem"
"2020-08-28",4800,5190,"rem"
"2020-08-28",5190,5430,"light"
"2020-08-28",5190,5430,"light"
"2020-08-28",5430,6480,"wake"
"2020-08-28",5430,6480,"wake"
"2020-08-28",6480,8820,"deep"
"2020-08-28",6480,8820,"deep"
"2020-08-28",8820,11700,"light"
"2020-08-28",8820,11700,"light"
"2020-08-28",11700,13440,"rem"
"2020-08-28",11700,13440,"rem"
"2020-08-28",13440,13800,"light"
"2020-08-28",13440,13800,"light"
"2020-08-28",13800,15150,"deep"
"2020-08-28",13800,15150,"deep"
"2020-08-28",15150,17370,"light"
"2020-08-28",15150,17370,"light"
"2020-08-28",17370,20130,"rem"
"2020-08-28",17370,20130,"rem"
"2020-08-28",20130,20580,"light"
"2020-08-28",20130,20580,"light"
"2020-08-28",20580,20910,"rem"
"2020-08-28",20580,20910,"rem"
"2020-08-28",20910,21840,"light"
"2020-08-28",20910,21840,"light"
"2020-08-28",21840,22110,"wake"
"2020-08-28",21840,22110,"wake"
"2020-08-28",22110,22530,"light"
"2020-08-28",22110,22530,"light"
"2020-08-28",22530,22860,"rem"
"2020-08-28",22530,22860,"rem"
"2020-08-28",22860,22950,"light"
"2020-08-28",22860,22950,"light"
"2020-08-28",22950,24810,"wake"
"2020-08-28",22950,24810,"wake"
"2020-08-28",24810,25320,"light"
"2020-08-28",24810,25320,"light"
"2020-08-28",25320,25650,"rem"
"2020-08-28",25320,25650,"rem"
"2020-08-28",25650,30540,"light"
"2020-08-28",25650,30540,"light"
"2020-08-28",30540,32880,"rem"
"2020-08-28",30540,32880,"rem"
"2020-08-28",32880,35970,"light"
"2020-08-28",32880,35970,"light"
"2020-08-28",35970,37710,"rem"
"2020-08-28",35970,37710,"rem"
"2020-08-28",37710,38130,"light"
"2020-08-28",37710,38130,"light"
"2020-08-29",1620,1860,"wake"
"2020-08-29",1860,4500,"light"
"2020-08-29",4500,4800,"wake"
"2020-08-29",4800,5880,"light"
"2020-08-29",5880,6720,"wake"
"2020-08-29",6720,7230,"light"
"2020-08-29",7230,8850,"deep"
"2020-08-29",8850,12420,"light"
"2020-08-29",12420,12720,"deep"
"2020-08-29",12720,13530,"light"
"2020-08-29",13530,13920,"deep"
"2020-08-29",13920,16140,"light"
"2020-08-29",16140,16680,"wake"
"2020-08-29",16680,16980,"light"
"2020-08-29",16980,18030,"wake"
"2020-08-29",18030,19020,"light"
"2020-08-29",19020,19620,"wake"
"2020-08-29",19620,20100,"light"
"2020-08-29",20100,20430,"deep"
"2020-08-29",20430,22200,"light"
"2020-08-29",22200,23430,"deep"
"2020-08-29",23430,23760,"light"
"2020-08-29",23760,25080,"deep"
"2020-08-29",25080,27420,"light"
"2020-08-29",27420,27780,"rem"
"2020-08-29",27780,28260,"wake"
"2020-08-29",28260,30900,"light"
"2020-08-29",30900,31380,"deep"
"2020-08-29",31380,31860,"light"
"2020-08-29",31860,32640,"wake"
"2020-08-29",32640,32850,"light"
"2020-08-29",32850,33750,"wake"
"2020-08-29",33750,35100,"rem"
"2020-08-29",35100,36630,"light"
"2020-08-29",36630,38490,"rem"
"2020-08-29",86340,86400,"asleep"
"2020-08-30",0,60,"restless"
"2020-08-30",60,120,"awake"
"2020-08-30",120,300,"restless"
"2020-08-30",300,360,"awake"
"2020-08-30",360,660,"asleep"
"2020-08-30",660,720,"restless"
"2020-08-30",720,780,"awake"
"2020-08-30",780,900,"asleep"
"2020-08-30",900,1260,"restless"
"2020-08-30",1260,1380,"asleep"
"2020-08-30",1380,1440,"restless"
"2020-08-30",1440,2040,"asleep"
"2020-08-30",2040,2100,"restless"
"2020-08-30",2100,2280,"asleep"
"2020-08-30",2280,2340,"restless"
"2020-08-30",2340,3120,"asleep"
"2020-08-30",3120,3420,"restless"
"2020-08-30",3420,3480,"awake"
"2020-08-30",3480,3540,"restless"
"2020-08-30",3540,3660,"asleep"
"2020-08-30",3660,3720,"restless"
"2020-08-30",3720,3900,"asleep"
"2020-08-30",3900,4020,"awake"
"2020-08-30",4020,4260,"asleep"
"2020-08-30",4260,4320,"restless"
"2020-08-30",4320,4500,"asleep"
"2020-08-30",4500,4680,"restless"
"2020-08-30",4680,4860,"asleep"
"2020-08-30",4860,4980,"restless"
"2020-08-30",4980,5280,"asleep"
"2020-08-30",5280,5520,"restless"
"2020-08-30",5520,5640,"asleep"
"2020-08-30",5640,5700,"restless"
"2020-08-30",5700,6480,"asleep"
"2020-08-30",6480,6540,"restless"
"2020-08-30",6540,6600,"asleep"
"2020-08-30",6600,6660,"restless"
"2020-08-30",11760,11790,"wake"
"2020-08-30",11790,12060,"light"
"2020-08-30",12060,14010,"deep"
"2020-08-30",14010,16860,"light"
"2020-08-30",16860,17220,"deep"
"2020-08-30",17220,18870,"light"
